x,y,,,,,left_frame_x,left_frame_y,right_frame_x,right_frame_y
1584.42,1180.39,271.584,445.481,172.393,112.777,2301.48,895.223,2127.58,895.223
1584.33,1180.36,271.667,445.617,172.358,112.754,2301.62,895.246,2127.67,895.246
1584.23,1180.8,271.77,445.786,172.805,113.046,2301.79,894.954,2127.77,894.954
1584.02,1180.71,271.98,446.131,172.709,112.983,2302.13,895.017,2127.98,895.017
1577.39,1182.54,278.607,457.001,174.545,114.184,2313,893.816,2134.61,893.816
1577.36,1182.26,278.643,457.061,174.26,113.997,2313.06,894.003,2134.64,894.003
1577.33,1182.37,278.666,457.098,174.367,114.068,2313.1,893.932,2134.67,893.932
1577.5,1182.45,278.504,456.832,174.449,114.121,2312.83,893.879,2134.5,893.879
1577.23,1182.47,278.768,457.265,174.469,114.135,2313.26,893.865,2134.77,893.865
1577.39,1182.34,278.607,457.001,174.339,114.05,2313,893.95,2134.61,893.95
1577.23,1182.08,278.77,457.269,174.081,113.881,2313.27,894.119,2134.77,894.119
1577.37,1182.68,278.626,457.033,174.68,114.272,2313.03,893.728,2134.63,893.728
1577.25,1182.49,278.753,457.241,174.49,114.148,2313.24,893.852,2134.75,893.852
1577.01,1182,278.995,457.638,173.999,113.827,2313.64,894.173,2134.99,894.173
1576.65,1181.8,279.349,458.219,173.798,113.695,2314.22,894.305,2135.35,894.305
1576.56,1181.47,279.442,458.37,173.472,113.482,2314.37,894.518,2135.44,894.518
1576.23,1181.31,279.77,458.909,173.305,113.373,2314.91,894.627,2135.77,894.627
1575.89,1181.19,280.11,459.467,173.186,113.295,2315.47,894.705,2136.11,894.705
1585.6,1188.83,270.404,443.546,180.834,118.299,2299.55,889.701,2126.4,889.701
1585.15,1189.01,270.852,444.28,181.01,118.414,2300.28,889.586,2126.85,889.586
1584.97,1188.69,271.029,444.57,180.694,118.207,2300.57,889.793,2127.03,889.793
1584.5,1188.59,271.497,445.339,180.593,118.141,2301.34,889.859,2127.5,889.859
1584.51,1188.49,271.495,445.335,180.485,118.07,2301.33,889.93,2127.49,889.93
1584.13,1188.68,271.873,445.955,180.683,118.2,2301.95,889.8,2127.87,889.8
1583.66,1188.68,272.335,446.713,180.683,118.2,2302.71,889.8,2128.34,889.8
1585.05,1189.88,270.953,444.446,181.88,118.983,2300.45,889.017,2126.95,889.017
1584.68,1189.5,271.319,445.047,181.5,118.734,2301.05,889.266,2127.32,889.266
1584.76,1188.8,271.239,444.915,180.8,118.276,2300.92,889.724,2127.24,889.724
1584.58,1188.77,271.424,445.22,180.769,118.256,2301.22,889.744,2127.42,889.744
1584.87,1188.35,271.128,444.733,180.348,117.98,2300.73,890.02,2127.13,890.02
1584.84,1187.9,271.163,444.791,179.898,117.686,2300.79,890.314,2127.16,890.314
1584.96,1186.98,271.037,444.584,178.98,117.086,2300.58,890.914,2127.04,890.914
1585.28,1186.67,270.719,444.063,178.667,116.881,2300.06,891.119,2126.72,891.119
1585.17,1186.4,270.828,444.241,178.405,116.709,2300.24,891.291,2126.83,891.291
1586.48,1186.58,269.52,442.096,178.578,116.823,2298.1,891.177,2125.52,891.177
1586.17,1186.5,269.83,442.604,178.496,116.769,2298.6,891.231,2125.83,891.231
1586.36,1186.42,269.639,442.291,178.422,116.72,2298.29,891.28,2125.64,891.28
1585.94,1186.44,270.065,442.99,178.443,116.734,2298.99,891.266,2126.06,891.266
1586.21,1186.43,269.785,442.531,178.431,116.726,2298.53,891.274,2125.79,891.274
1585.74,1186.74,270.255,443.302,178.737,116.927,2299.3,891.073,2126.26,891.073
1590.54,1188,265.458,435.433,180.002,117.754,2291.43,890.246,2121.46,890.246
1590.44,1187.97,265.559,435.599,179.969,117.733,2291.6,890.267,2121.56,890.267
1590.9,1187.59,265.097,434.84,179.586,117.482,2290.84,890.518,2121.1,890.518
1590.55,1187.47,265.453,435.424,179.467,117.404,2291.42,890.596,2121.45,890.596
1591.18,1186.91,264.822,434.389,178.911,117.04,2290.39,890.96,2120.82,890.96
1591.4,1186.63,264.598,434.022,178.629,116.856,2290.02,891.144,2120.6,891.144
1591.49,1186.35,264.506,433.872,178.35,116.674,2289.87,891.326,2120.51,891.326
1592.51,1186.02,263.494,432.211,178.02,116.457,2288.21,891.543,2119.49,891.543
1592.89,1185.39,263.109,431.58,177.385,116.042,2287.58,891.958,2119.11,891.958
1593.09,1184.89,262.909,431.252,176.886,115.715,2287.25,892.285,2118.91,892.285
1593.32,1184.09,262.681,430.877,176.092,115.196,2286.88,892.804,2118.68,892.804
1593.57,1183.41,262.429,430.465,175.408,114.749,2286.46,893.251,2118.43,893.251
1594.27,1182.02,261.727,429.313,174.019,113.84,2285.31,894.16,2117.73,894.16
1594.63,1180.83,261.374,428.734,172.827,113.06,2284.73,894.94,2117.37,894.94
1594.86,1179.88,261.137,428.344,171.881,112.442,2284.34,895.558,2117.14,895.558
1586.13,1179.14,269.871,442.671,171.141,111.957,2298.67,896.043,2125.87,896.043
1586.04,1177.45,269.963,442.823,169.452,110.852,2298.82,897.148,2125.96,897.148
1585.91,1176.09,270.091,443.032,168.092,109.963,2299.03,898.037,2126.09,898.037
1585.97,1174.57,270.029,442.931,166.567,108.965,2298.93,899.035,2126.03,899.035
1586.2,1172.95,269.803,442.559,164.952,107.909,2298.56,900.091,2125.8,900.091
1585.81,1171.59,270.193,443.199,163.592,107.019,2299.2,900.981,2126.19,900.981
1584.91,1175.24,271.086,444.664,167.239,109.405,2300.66,898.595,2127.09,898.595
1584.7,1173.61,271.298,445.012,165.607,108.337,2301.01,899.663,2127.3,899.663
